Position,Model,N_decisions,Mean_NLL,Delta_mean_NLL
1,Cost to sample,2560,0.439224033197598,0.00137562639948796
1,Cut off,2560,0.49924240915034,0.0613940023522297
1,Biased prior,2560,0.43784840679811,0
2,Cost to sample,1715,0.265225128069993,0
2,Cut off,1715,0.308132939449806,0.0429078113798126
2,Biased prior,1715,0.274293315170607,0.00906818710061386
3,Cost to sample,1554,0.332541466949585,0
3,Cut off,1554,0.373275480387204,0.0407340134376192
3,Biased prior,1554,0.34256615223046,0.0100246852808755
4,Cost to sample,1350,0.385684831167636,0
4,Cut off,1350,0.397075942537626,0.0113911113699899
4,Biased prior,1350,0.391337993716208,0.00565316254857162
5,Cost to sample,1140,0.3909952214608,0.00422822608462436
5,Cut off,1140,0.527133331210602,0.140366335834427
5,Biased prior,1140,0.386766995376175,0
6,Cost to sample,954,0.420111452594286,0.0356530090310345
6,Cut off,954,0.496689606671725,0.112231163108474
6,Biased prior,954,0.384458443563251,0
7,Cost to sample,805,0.546653372227386,0.0356943055033756
7,Cut off,805,0.557543374091725,0.0465843073677152
7,Biased prior,805,0.51095906672401,0
8,Cost to sample,642,-0,0
8,Cut off,642,0.152704477413638,0.152704477413638
8,Biased prior,642,-0,0
