BestFitModel,Source,Position,ThresholdPSE,Slope,Intercept,NTrials,NSuccess,NFailure,FitOK,NegLogLik,BoundHitLow,BoundHitHigh
Cost-to-sample,Participants,1,14,0.0511035802325815,-0.71545012325614,800,317,483,1,540.109036859169,0,1
Cost-to-sample,Participants,2,14,0.428902468602342,-6.00463456043279,483,30,453,1,123.835598412443,0,1
Cost-to-sample,Participants,3,14,0.254147520618325,-3.55806528865654,453,70,383,1,198.536895405422,0,1
Cost-to-sample,Participants,4,14,0.202656200001455,-2.83718680002037,383,63,320,1,193.588442171524,0,1
Cost-to-sample,Participants,5,14,0.202602072335805,-2.83642901270127,320,66,254,1,164.883755307061,0,1
Cost-to-sample,Participants,6,14,0.222635914136443,-3.1169027979102,254,52,202,1,123.897690940426,0,1
Cost-to-sample,Participants,7,14,0.20608457211293,-2.88518400958102,202,39,163,1,103.928456496649,0,1
Cost-to-sample,Winning model,1,14,0.0885258022440242,-1.23936123141634,800,250.519073689164,549.480926310836,1,513.642321757579,0,1
Cost-to-sample,Winning model,2,14,0.250032785415505,-3.50045899581707,483,66.041750958048,416.958249041952,1,208.829838729941,0,1
Cost-to-sample,Winning model,3,14,0.237749149524285,-3.32848809333999,453,74.612993398825,378.387006601175,1,207.761132635002,0,1
Cost-to-sample,Winning model,4,14,0.207185970074855,-2.90060358104797,383,72.9078577931565,310.092142206843,1,191.341794331505,0,1
Cost-to-sample,Winning model,5,14,0.179236596730109,-2.50931235422153,320,74.7953381567251,245.204661843275,1,174.29813825317,0,1
Cost-to-sample,Winning model,6,14,0.152281752054761,-2.13194452876666,254,69.0910132464639,184.908986753536,1,146.519702192369,0,1
Cost-to-sample,Winning model,7,14,0.0885696075117255,-1.23997450516416,202,68.8186752093687,133.181324790631,1,131.199673872502,0,1
Biased-prior,Participants,1,12.843523684581,0.12418067757334,-1.5949174735805,1480,457,1023,1,898.033051082457,0,0
Biased-prior,Participants,2,12.1637930998442,0.380931618185659,-4.6335733887992,1023,119,904,1,318.318734109339,0,0
Biased-prior,Participants,3,11.4376041869172,0.420650730639412,-4.81123655799112,904,117,787,1,294.98858121749,0,0
Biased-prior,Participants,4,11.9080068702985,0.330658849202346,-3.93748784802653,787,114,673,1,291.601484694754,0,0
Biased-prior,Participants,5,11.0587951949486,0.404366708578446,-4.47180861382452,673,104,569,1,245.719424223371,0,0
Biased-prior,Participants,6,10.036353924366,0.510255975097621,-5.12110955810221,569,88,481,1,190.118332284631,0,0
Biased-prior,Participants,7,9.60464968620731,0.394635604744587,-3.79033673727633,481,109,372,1,218.214970091903,0,0
Biased-prior,Winning model,1,14,0.149716142062374,-2.09602598887323,1480,340.565974795129,1139.43402520487,1,801.54828375701,0,1
Biased-prior,Winning model,2,14,0.231026867075177,-3.23437613905248,1023,147.993552669065,875.006447330935,1,404.72308241644,0,1
Biased-prior,Winning model,3,13.5204601633436,0.231649950348411,-3.13201392552621,904,146.866335799382,757.133664200618,1,379.535438044619,0,0
Biased-prior,Winning model,4,11.2934528231234,0.301830304667243,-3.40870630634849,787,145.768930912454,641.231069087546,1,342.648223776032,0,0
Biased-prior,Winning model,5,10.4433716947605,0.30862220915026,-3.22305644341428,673,153.29157500392,519.70842499608,1,324.6312108339,0,0
Biased-prior,Winning model,6,9.04833902065944,0.366584275725437,-3.31697880640665,569,146.724343616632,422.275656383368,1,281.51180420308,0,0
Biased-prior,Winning model,7,7.35452600225572,0.393032303002508,-2.89056629215839,481,181.437808632933,299.562191367067,1,269.577365532367,0,0
